pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
133.985,-102.49,0.0,top,R11,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.985,-103.97,0.0,top,R12,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.985,-99.49,0.0,top,R13,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.985,-100.99,0.0,top,R14,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
132.03,-97.26,90.0,top,R15,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.51,-97.26,90.0,top,R16,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
129.09,-97.26,90.0,top,R17,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
130.55,-97.26,90.0,top,R18,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
126.11,-97.26,90.0,top,R19,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
115.74,-82.23,-90.0,top,R2,10k 0603,,R_0603_1608Metric,10kΩ,smt
127.58,-97.26,90.0,top,R20,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
65.63,-124.32,0.0,top,R21,10k 0603,,R_0603_1608Metric,10kΩ,smt
65.5,-118.8,180.0,top,R22,10k 0603,,R_0603_1608Metric,10kΩ,smt
121.365,-113.38,0.0,top,R23,10k 0603,,R_0603_1608Metric,10kΩ,smt
121.365,-111.87,0.0,top,R24,10k 0603,,R_0603_1608Metric,10kΩ,smt
131.4225,-118.28,-90.0,top,R25,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
129.9525,-118.28,-90.0,top,R26,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
134.3825,-118.28,-90.0,top,R27,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
132.8925,-118.28,-90.0,top,R28,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.3425,-118.28,-90.0,top,R29,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
80.31,-88.5725,0.0,top,R3,5.1k 0603,,R_0603_1608Metric,5.1kΩ,smt
135.8725,-118.28,-90.0,top,R30,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
138.0675,-114.595,0.0,top,R31,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
138.0675,-116.055,0.0,top,R32,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
138.0675,-111.645,0.0,top,R33,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
138.0675,-113.115,0.0,top,R34,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
136.2125,-109.395,90.0,top,R35,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.6825,-109.395,90.0,top,R36,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.2725,-109.395,90.0,top,R37,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
134.7425,-109.395,90.0,top,R38,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
130.3425,-109.395,90.0,top,R39,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
75.95,-88.26,180.0,top,R4,5.1k 0603,,R_0603_1608Metric,5.1kΩ,smt
131.8025,-109.395,90.0,top,R40,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
88.965,-102.77,180.0,top,R41,1k 0603,,R_0603_1608Metric,1kΩ,smt
88.965,-104.243669,180.0,top,R42,1k 0603,,R_0603_1608Metric,1kΩ,smt
130.8675,-130.5175,-90.0,top,R43,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
129.365,-130.5125,-90.0,top,R44,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
